,% missing from total,dtype,null values,unique values,Description,Special,count,mean,std,min,25%,50%,75%,max
AMT_ANNUITY,0.0,float64,12,13673,Loan annuity,,307499.0,27108.573909183444,14493.737315118333,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_ANNUITY,0.0,float64,12,13673,Annuity of the Credit Bureau credit,,307499.0,27108.573909183444,14493.737315118333,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_ANNUITY,0.0,float64,12,13673,Annuity of previous application,,307499.0,27108.573909183444,14493.737315118333,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_CREDIT,0.0,float64,0,5603,Credit amount of the loan,,307511.0,599025.9997057016,402490.77699585486,45000.0,270000.0,513531.0,808650.0,4050000.0
AMT_CREDIT,0.0,float64,0,5603,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",,307511.0,599025.9997057016,402490.77699585486,45000.0,270000.0,513531.0,808650.0,4050000.0
AMT_GOODS_PRICE,0.09,float64,278,1003,For consumer loans it is the price of the goods for which the loan is given,,307233.0,538396.2074288895,369446.46054005757,40500.0,238500.0,450000.0,679500.0,4050000.0
AMT_GOODS_PRICE,0.09,float64,278,1003,Goods price of good that client asked for (if applicable) on the previous application,,307233.0,538396.2074288895,369446.46054005757,40500.0,238500.0,450000.0,679500.0,4050000.0
AMT_INCOME_TOTAL,0.0,float64,0,2548,Income of the client,,307511.0,168797.9192969845,237123.14627885626,25650.0,112500.0,147150.0,202500.0,117000000.0
AMT_REQ_CREDIT_BUREAU_DAY,13.5,float64,41519,10,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),,265992.0,0.0070002105326475985,0.1107574063243545,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_HOUR,13.5,float64,41519,6,Number of enquiries to Credit Bureau about the client one hour before application,,265992.0,0.006402448193930645,0.08384912844747724,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_MON,13.5,float64,41519,25,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),,265992.0,0.26739526000781977,0.9160023961526175,0.0,0.0,0.0,0.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,13.5,float64,41519,12,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),,265992.0,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,261.0
AMT_REQ_CREDIT_BUREAU_WEEK,13.5,float64,41519,10,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),,265992.0,0.0343619356973142,0.20468487581282446,0.0,0.0,0.0,0.0,8.0
